generation,time,best_fitness,mean_fitness,std_fitness,diversity,avg_sigma,games_per_sec
1,11.62,1.000000,1.000000,0.000000,0.302706,0.389865,271.0
2,84.32,1.000000,1.000000,0.000000,0.382864,0.389867,246.2
3,87.10,1.000000,1.000000,0.000000,0.395042,0.389867,240.9
4,80.23,1.000000,1.000000,0.000000,0.418940,0.389867,245.3
